teacher_name,teacher_category,student_type,mismatch_level,seed,distill_temperature,alpha,teacher_accuracy,teacher_auc,teacher_f1,teacher_recall,student_accuracy,student_auc,student_f1,student_recall,student_precision,student_ece,student_nll,student_brier,student_ts_ece,student_ts_f1,student_ts_recall,student_ts_auc,student_optimal_temp,student_params,teacher_params
TabTransformer,Attention,StudentHybrid,heterogeneous,123,4.642,0.2,0.8514689323369843,0.8992365347164833,0.676332812848539,0.6484174508126604,0.8611935715016891,0.91309335881556,0.6951438848920863,0.6612489307100086,0.7327014218009479,0.01975857833001299,0.3081591867976238,0.09769054158198427,0.015299078181183132,0.6951438848920863,0.6612489307100086,0.91309335881556,0.9337158799171448,14743,154882
DeepFM,Hybrid,StudentMLP,heterogeneous,123,1.292,0.1,0.8391851776026206,0.884019261782105,0.6609108568961796,0.6548331907613345,0.8576108097041663,0.9134040299354,0.6616395037703722,0.58169375534645,0.7670614777213762,0.010519037024712033,0.30615419828430357,0.09772619691297549,0.00813102006091592,0.6616395037703722,0.58169375534645,0.9134040299354,1.0397498607635498,36078,204343
DeepFM,Hybrid,StudentAttention,heterogeneous,123,1.292,0.1,0.8391851776026206,0.884019261782105,0.6609108568961796,0.6548331907613345,0.8644692394308527,0.9167281677489361,0.691231343283582,0.6338751069289992,0.76,0.009041655623356975,0.29896420269949964,0.09510125160037619,0.006852894051314883,0.691231343283582,0.6338751069289992,0.9167281677489361,1.0193427801132202,8594,204343
DeepFM,Hybrid,StudentHybrid,homomorphic,123,1.292,0.1,0.8391851776026206,0.884019261782105,0.6609108568961796,0.6548331907613345,0.8590439144231754,0.912774687086983,0.6740828402366864,0.6090675791274593,0.7546369899311076,0.012319309127292344,0.3081729967640741,0.0982452955613048,0.0076761209193458085,0.6740828402366864,0.6090675791274593,0.9127746583078149,1.0509178638458252,14743,204343
WideAndDeep,Hybrid,StudentMLP,heterogeneous,123,1.292,0.2,0.8392875422254069,0.8811159617439668,0.6281383230696352,0.5671514114627887,0.8577131743269526,0.9119745686549503,0.6652215799614644,0.5906757912745937,0.7613009922822491,0.012000348062590732,0.3073707131520919,0.09815726246811013,0.01284090259067324,0.6652215799614644,0.5906757912745937,0.9119745686549503,0.9837576746940613,36078,202807
WideAndDeep,Hybrid,StudentAttention,heterogeneous,123,2.783,0.1,0.8392875422254069,0.8811159617439668,0.6281383230696352,0.5671514114627887,0.8657999795270754,0.9172688132012117,0.6971586971586972,0.6454234388366125,0.7579105976896032,0.01284789657400427,0.2980166674055126,0.09461551344452118,0.008277164641925993,0.6971586971586972,0.6454234388366125,0.9172688132012117,0.9537460207939148,8594,202807
WideAndDeep,Hybrid,StudentHybrid,homomorphic,123,10.0,0.1,0.8392875422254069,0.8811159617439668,0.6281383230696352,0.5671514114627887,0.8623195823523391,0.9137803751168866,0.6809015421115066,0.6137724550898204,0.7645178476291955,0.010100668204696817,0.3047830184321687,0.09693274936883362,0.009756913504162197,0.6809015421115066,0.6137724550898204,0.9137803751168865,0.9728567004203796,14743,202807
DCN,Hybrid,StudentMLP,heterogeneous,123,1.0,0.1,0.7471593817176784,0.6048583955567728,0.38587767279960217,0.3319076133447391,0.8553587880028662,0.9107781035195887,0.6418250950570342,0.5414884516680923,0.7878033602986932,0.015412376078347346,0.31219201553238063,0.0993996010893389,0.013068432225360024,0.6418250950570342,0.5414884516680923,0.9107780747404206,0.9429802894592285,36078,205042
DCN,Hybrid,StudentAttention,heterogeneous,123,1.0,0.1,0.7471593817176784,0.6048583955567728,0.38587767279960217,0.3319076133447391,0.8659023441498618,0.9155762239866538,0.681420233463035,0.5992301112061591,0.7897406989853438,0.014895167985788223,0.30267743217600523,0.09562754231366945,0.014564237504822287,0.681420233463035,0.5992301112061591,0.9155761952074859,0.9941841959953308,8594,205042
DCN,Hybrid,StudentHybrid,homomorphic,123,1.0,0.1,0.7471593817176784,0.6048583955567728,0.38587767279960217,0.3319076133447391,0.8620124884839799,0.9123546551282924,0.6713798147245246,0.5889649272882805,0.7806122448979592,0.013315414944838113,0.30747426792879906,0.09782274882426875,0.013680777464537507,0.6713798147245246,0.5889649272882805,0.9123546263491242,0.9631642699241638,14743,205042
